element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Type,
Na,10,"=""""","=""30.174""","=""""","=""6.72e+07""",A,,
Ca,3,"=""30.1741""","=""30.17472""","=""110000""","=""2.0e+09""",C,,
Ni,16,"=""""","=""30.1763""","=""""","=""2.6e+08""",E,,
Na,1,"=""30.1769""","=""30.1769""","=""a""","=""""",,,
Na,10,"=""""","=""30.177""","=""""","=""2.01e+08""",A,,
Ne,7,"=""""","=""30.18""","=""""","=""7.7e+07""",C,,
S,11,"=""""","=""30.180+""","=""""","=""5.84e+08""",D,,
Cr,14,"=""30.1819""","=""30.18*""","=""""","=""2.3e+09""",B,,
Sc,7,"=""30.1820""","=""30.1820""","=""5""","=""3.90e+10""",D,,
Si,10,"=""""","=""30.1869""","=""""","=""6.36e+09""",D+,,
Ti,6,"=""30.1913""","=""30.1913+""","=""4""","=""1.8e+07""",E,,
Na,10,"=""""","=""30.191""","=""""","=""3.35e+08""",A,,
Na,8,"=""""","=""30.192""","=""""","=""3.49e+08""",D+,,
Mo,9,"=""30.1939""","=""30.1943+""","=""2""","=""""",,,
Rb,4,"=""30.1960""","=""30.195984+""","=""20""","=""""",,,
S,7,"=""""","=""30.200+""","=""""","=""7.90e+08""",C,,
Ne,7,"=""""","=""30.20""","=""""","=""9.e+06""",D,,
Ti,10,"=""30.2024""","=""30.2012+""","=""""","=""9.6e+09""",E,,
Ti,10,"=""30.2024""","=""30.2075""","=""""","=""""",,,
Si,13,"=""""","=""30.2021""","=""""","=""1.40e+08""",B+,,
V,12,"=""30.2080""","=""30.2136+""","=""3""","=""""",,,
V,12,"=""30.2080""","=""30.2079+""","=""3""","=""""",,,
Si,13,"=""""","=""30.2086""","=""""","=""4.20e+08""",B+,,
Mo,5,"=""30.2188""","=""30.2190""","=""7100""","=""4.0e+08""",E,,
Na,8,"=""""","=""30.221""","=""""","=""1.62e+08""",D,,
Na,8,"=""""","=""30.223""","=""""","=""5.87e+07""",E,,
Ni,14,"=""30.2264""","=""30.2264""","=""4""","=""2.2e+09""",D,,
Ne,7,"=""30.227""","=""30.227""","=""465l""","=""""",,,
Ti,8,"=""30.2272""","=""30.2274+""","=""""","=""""",,,
W,7,"=""30.2272""","=""30.2275""","=""700""","=""""",,,
Si,10,"=""""","=""30.2297""","=""""","=""7.04e+08""",E,,
Cs,9,"=""30.2314""","=""30.2302""","=""13""","=""1.12e+10""",,,
Fe,15,"=""30.2334""","=""30.2334""","=""140""","=""6.9e+09""",C,,
Si,9,"=""""","=""30.2339""","=""""","=""9.79e+08""",A,,
Si,13,"=""""","=""30.2327""","=""""","=""6.97e+08""",A,,
Zr,6,"=""30.2351""","=""30.23497""","=""300""","=""1.3e+11""",C,,
Sc,11,"=""""","=""30.238""","=""""","=""9.2e+09""",C,,
S,7,"=""""","=""30.240+""","=""""","=""1.01e+10""",D,,
Co,17,"=""""","=""30.21""","=""""","=""1.0e+05""",C,E2,
Cu,14,"=""30.2406""","=""30.241*""","=""1""","=""""",,,
Cu,18,"=""30.2406""","=""30.240*""","=""1""","=""""",,,
Na,8,"=""""","=""30.242""","=""""","=""2.72e+08""",D,,
Sc,7,"=""30.2436""","=""30.2438""","=""1bl""","=""5.3e+09""",D,,
Sc,6,"=""30.2436""","=""30.2442""","=""1g,bl""","=""""",,,
Si,9,"=""""","=""30.2438""","=""""","=""2.41e+09""",A,,
Na,2,"=""30.2446""","=""30.2447""","=""60""","=""5.95e+07""",B,,
V,11,"=""""","=""30.2500""","=""""","=""6.2e+07""",E,,
Mn,15,"=""""","=""30.27""","=""""","=""3.2e+10""",C,,
Mn,16,"=""""","=""30.2509""","=""""","=""3.9e+08""",E,,
Ti,12,"=""""","=""30.252*""","=""""","=""8.3e+09""",C,,
Ti,10,"=""""","=""30.2519""","=""""","=""1.2e+09""",E,,
Fe,5,"=""30.2543""","=""30.25438""","=""2""","=""""",,,
Cu,21,"=""30.256""","=""30.3*""","=""""","=""""",,,
Ni,16,"=""""","=""30.2584""","=""""","=""5.2e+07""",E,,
Ne,7,"=""30.265""","=""30.264""","=""650*""","=""""",,,
Ne,7,"=""30.265""","=""30.265""","=""650*""","=""""",,,
Si,7,"=""""","=""30.2654""","=""""","=""2.95e+09""",D+,,
Co,16,"=""30.2659""","=""30.2663+""","=""""","=""7.9e+09""",C,,
Co,17,"=""""","=""30.22""","=""""","=""6.3e+05""",C,E2,
Ga,5,"=""30.2718""","=""30.2713+""","=""50""","=""""",,,
Mo,5,"=""30.2730""","=""30.2730""","=""18000""","=""1.1e+09""",E,,
Fe,7,"=""""","=""30.27640""","=""""","=""4.0e+02""",D+,E2,
Mn,15,"=""""","=""30.29""","=""""","=""3.4e+10""",C,,
Na,8,"=""""","=""30.280""","=""""","=""5.37e+07""",E,,
Ni,13,"=""30.2844""","=""30.2833+""","=""5""","=""""",,,
Ti,12,"=""""","=""30.286*""","=""""","=""8.9e+09""",C,,
Ti,12,"=""""","=""30.286*""","=""""","=""6.0e+08""",D,,
Ga,5,"=""30.2871""","=""30.2871+""","=""360""","=""""",,,
B,3,"=""30.290""","=""30.2897""","=""5""","=""""",,,
Co,16,"=""30.294""","=""30.294*""","=""""","=""2.2e+10""",C,,
Rb,4,"=""30.2949""","=""30.294881+""","=""2""","=""""",,,
Mo,5,"=""30.2992""","=""30.2991""","=""8800""","=""8.e+08""",E,,
Mn,15,"=""""","=""30.32""","=""""","=""2.2e+09""",D,,
N,4,"=""""","=""30.3013""","=""""","=""1.94e+10""",B,,
P,9,"=""""","=""30.3017""","=""""","=""5.5e+09""",D,,
N,4,"=""""","=""30.3049""","=""""","=""2.62e+10""",B,,
Mo,10,"=""30.3066""","=""30.3172+""","=""16""","=""""",,,
N,4,"=""""","=""30.3080""","=""""","=""1.45e+10""",B,,
Na,8,"=""""","=""30.309""","=""""","=""6.06e+07""",E,,
Si,13,"=""""","=""30.3122""","=""""","=""3.73e+08""",B+,,
Fe,7,"=""""","=""30.31208""","=""""","=""1.5e+02""",D+,E2,
Mg,8,"=""""","=""30.3122""","=""""","=""1.47e+08""",D+,,
Mg,8,"=""""","=""30.3122""","=""""","=""1.42e+08""",D+,,
Mg,8,"=""""","=""30.3122""","=""""","=""1.57e+07""",E,,
Mg,8,"=""""","=""30.3122""","=""""","=""1.05e+07""",E,,
N,4,"=""30.3123""","=""30.3124""","=""90""","=""3.49e+10""",B,,
Mo,6,"=""30.3147""","=""30.3147""","=""1500""","=""2.15e+08""",,,
Mo,9,"=""30.3148""","=""30.3152+""","=""9""","=""""",,,
Na,7,"=""""","=""30.315""","=""""","=""2.54e+08""",C,,
Na,1,"=""30.3154""","=""30.3154""","=""a""","=""""",,,
Sc,8,"=""30.3157""","=""30.3157""","=""g""","=""""",,,
N,4,"=""""","=""30.3163""","=""""","=""8.71e+09""",B,,
Mn,13,"=""30.317""","=""30.3100+""","=""bl""","=""""",,,
N,4,"=""""","=""30.3195""","=""""","=""9.68e+08""",B,,
Y,8,"=""30.3250""","=""30.3248""","=""90""","=""2.36e+09""",C+,,
N,4,"=""30.328""","=""30.3280""","=""500""","=""8.72e+08""",B,,
Si,11,"=""""","=""30.3325""","=""""","=""6.42e+09""",A,,
Fe,13,"=""""","=""30.3355""","=""""","=""1.2e+09""",D,,
S,13,"=""30.338""","=""30.3384""","=""50""","=""2.17e+09""",A,,
O,4,"=""""","=""30.3393""","=""""","=""8.01e+08""",B,,
Ni,18,"=""""","=""30.34""","=""""","=""2.16e+06""",C,E2,
O,3,"=""30.341""","=""30.3413""","=""150""","=""4.29e+09""",C,,
O,4,"=""""","=""30.3420""","=""""","=""5.72e+07""",C+,,
Si,13,"=""""","=""30.3424""","=""""","=""6.32e+07""",B+,,
Si,13,"=""""","=""30.3413""","=""""","=""4.21e+06""",B,,
O,3,"=""30.346""","=""30.3461""","=""150""","=""1.29e+10""",C,,
N,6,"=""""","=""30.3486""","=""""","=""9.314e+07""",AA,,
Fe,15,"=""""","=""30.3486""","=""""","=""6.4e+00""",C,M2,
Si,13,"=""""","=""30.3465""","=""""","=""1.05e+08""",B+,,
Si,13,"=""""","=""30.3476""","=""""","=""3.16e+08""",B+,,
S,7,"=""""","=""30.351+""","=""""","=""2.90e+09""",C+,,
Si,13,"=""""","=""30.3479""","=""""","=""4.21e+08""",B+,,
O,3,"=""30.352""","=""30.3517""","=""140""","=""3.21e+09""",C,,
Pt,8,"=""30.35226""","=""30.35225""","=""23""","=""1.13e+09""",,,
Si,13,"=""""","=""30.3510""","=""""","=""3.54e+08""",B+,,
Cu,19,"=""30.3549""","=""30.3549+""","=""200""","=""""",,,
Ne,8,"=""30.356""","=""30.3410""","=""1100*""","=""1.77e+09""",A,,
Ne,8,"=""30.356""","=""30.3467""","=""1100*""","=""1.14e+09""",A,,
Fe,14,"=""30.3573""","=""30.3574+""","=""""","=""""",,,
Rb,4,"=""30.3581""","=""30.358101+""","=""25""","=""""",,,
C,6,"=""""","=""30.35874014""","=""""","=""2.0315e+09""",AA,,
Al,5,"=""""","=""30.359""","=""""","=""1.16e+09""",D,,
Na,7,"=""""","=""30.359""","=""""","=""4.02e+08""",C,,
C,6,"=""""","=""30.35945483""","=""""","=""1.2385e+09""",AA,,
O,4,"=""""","=""30.3596""","=""""","=""8.57e+07""",C+,,
C,6,"=""""","=""30.36026843""","=""""","=""2.1950e+08""",AA,,
Ne,7,"=""""","=""30.361""","=""m""","=""""",,,
C,6,"=""""","=""30.36107616""","=""""","=""1.2400e+09""",AA,,
O,3,"=""30.362""","=""30.3622""","=""160""","=""3.21e+09""",C,,
O,4,"=""""","=""30.3623""","=""""","=""7.71e+08""",B,,
Na,10,"=""""","=""30.363""","=""""","=""1.43e+08""",A,,
Ne,8,"=""30.365""","=""30.3703""","=""800*""","=""1.44e+09""",A,,
Ne,8,"=""30.365""","=""30.3732""","=""800*""","=""8.5e+08""",A,,
Na,9,"=""""","=""30.366""","=""""","=""2.55e+09""",A,,
Na,9,"=""""","=""30.366""","=""""","=""2.55e+09""",A,,
Be,4,"=""""","=""30.36729650""","=""""","=""4.4063e+09""",AA,,
Mo,5,"=""30.3676""","=""30.3674""","=""3500""","=""3.5e+08""",E,,
Be,4,"=""""","=""30.36784768""","=""""","=""2.4770e+09""",AA,,
S,9,"=""""","=""30.368+""","=""""","=""1.04e+07""",C+,,
Be,4,"=""""","=""30.36830573""","=""""","=""2.2030e+08""",AA,,
Be,4,"=""""","=""30.36892852""","=""""","=""2.4782e+09""",AA,,
O,3,"=""30.369""","=""30.3695""","=""160""","=""5.34e+09""",C,,
C,6,"=""""","=""30.371155477""","=""""","=""2.5995e+09""",AA,,
C,6,"=""""","=""30.37117614""","=""""","=""2.4363e+09""",AA,,
C,6,"=""""","=""30.371692161""","=""""","=""1.0155e+07""",AA,,
C,6,"=""""","=""30.37171659""","=""""","=""4.0601e+08""",AA,,
C,6,"=""""","=""30.37324620""","=""""","=""4.4043e+08""",AA,,
C,6,"=""""","=""30.373314800""","=""""","=""1.0209e+08""",AA,,
Ne,8,"=""""","=""30.3746""","=""""","=""1.33e+06""",A,,
Cr,12,"=""30.375""","=""30.3750+""","=""""","=""""",,,
C,6,"=""""","=""30.375209266""","=""""","=""2.7840e+09""",AA,,
Ne,8,"=""""","=""30.3754""","=""""","=""2.80e+07""",A,,
C,6,"=""""","=""30.375479514""","=""""","=""1.8552e+08""",AA,,
Be,4,"=""""","=""30.37558480""","=""""","=""5.2845e+09""",AA,,
Be,4,"=""""","=""30.37594512""","=""""","=""8.8061e+08""",AA,,
C,6,"=""""","=""30.376016351""","=""""","=""9.1535e+07""",AA,,
Be,4,"=""""","=""30.37695493""","=""""","=""4.4134e+08""",AA,,
Ne,8,"=""""","=""30.378""","=""""","=""2.66e+07""",A,,
